task_id,status,attempts,final_level,provider,model,prompt_tokens,completion_tokens,total_tokens,trace
moving-stones-until-consecutive-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,3141,6144,9285,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
largest-number-after-mutating-substring_python3,repair_fail,3,CDS,local_qwen,local_qwen,1748,6144,7892,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
nim-game_python3,repair_fail,3,CDS,local_qwen,local_qwen,1067,6144,7211,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:ModuleNotFoundError -> max_context_reached
find-all-possible-recipes-from-given-supplies_python3,repair_fail,3,CDS,local_qwen,local_qwen,2430,6144,8574,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
sequential-digits_python3,repair_fail,3,CDS,local_qwen,local_qwen,1120,6144,7264,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
check-if-string-is-transformable-with-substring-sort-operations_python3,repair_success,1,TAC,local_qwen,local_qwen,617,2048,2665,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
increasing-order-search-tree_python3,repair_success,1,TAC,local_qwen,local_qwen,403,1929,2332,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_success
check-if-one-string-swap-can-make-strings-equal_python3,repair_fail,3,CDS,local_qwen,local_qwen,1382,6144,7526,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
disconnect-path-in-a-binary-matrix-by-at-most-one-flip_python3,repair_fail,3,CDS,local_qwen,local_qwen,2049,6144,8193,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
smallest-string-starting-from-leaf_python3,repair_fail,3,CDS,local_qwen,local_qwen,1249,6144,7393,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
online-election_python3,repair_fail,3,CDS,local_qwen,local_qwen,1186,6144,7330,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
number-complement_python3,repair_success,3,CDS,local_qwen,local_qwen,1178,6144,7322,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
binary-tree-level-order-traversal-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,1371,6144,7515,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximum-of-absolute-value-expression_python3,repair_fail,3,CDS,local_qwen,local_qwen,1615,6144,7759,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-cost-to-make-at-least-one-valid-path-in-a-grid_python3,repair_fail,3,CDS,local_qwen,local_qwen,2091,6144,8235,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
alternating-digit-sum_python3,repair_success,3,CDS,local_qwen,local_qwen,1127,5820,6947,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
best-time-to-buy-and-sell-stock-ii_python3,repair_fail,3,CDS,local_qwen,local_qwen,1905,6144,8049,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
substring-with-concatenation-of-all-words_python3,repair_fail,3,CDS,local_qwen,local_qwen,2494,6144,8638,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
merge-k-sorted-lists_python3,repair_fail,3,CDS,local_qwen,local_qwen,1367,6144,7511,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
find-the-string-with-lcp_python3,repair_fail,3,CDS,local_qwen,local_qwen,2440,6144,8584,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
range-sum-query-immutable_python3,repair_fail,3,CDS,local_qwen,local_qwen,948,6144,7092,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
plus-one_python3,repair_success,3,CDS,local_qwen,local_qwen,1377,6144,7521,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_success
third-maximum-number_python3,repair_fail,3,CDS,local_qwen,local_qwen,1248,6144,7392,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-index-sum-of-two-lists_python3,repair_fail,3,CDS,local_qwen,local_qwen,1977,6144,8121,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
find-words-that-can-be-formed-by-characters_python3,repair_fail,3,CDS,local_qwen,local_qwen,1315,6144,7459,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
maximize-number-of-nice-divisors_python3,repair_fail,3,CDS,local_qwen,local_qwen,1544,6144,7688,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
find-closest-node-to-given-two-nodes_python3,repair_fail,3,CDS,local_qwen,local_qwen,1889,6144,8033,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
delete-greatest-value-in-each-row_python3,repair_fail,3,CDS,local_qwen,local_qwen,1632,6144,7776,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
count-anagrams_python3,repair_fail,3,CDS,local_qwen,local_qwen,1213,6144,7357,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:NameError -> max_context_reached
word-subsets_python3,repair_fail,3,CDS,local_qwen,local_qwen,1126,6144,7270,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
next-greater-element-iv_python3,repair_fail,3,CDS,local_qwen,local_qwen,1647,6144,7791,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> max_context_reached
minimum-bit-flips-to-convert-number_python3,repair_fail,3,CDS,local_qwen,local_qwen,1734,6144,7878,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
sum-of-subarray-minimums_python3,repair_fail,3,CDS,local_qwen,local_qwen,1379,6144,7523,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:SyntaxError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
linked-list-cycle_python3,repair_fail,3,CDS,local_qwen,local_qwen,1298,6144,7442,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> max_context_reached
minimum-distance-to-the-target-element_python3,repair_fail,3,CDS,local_qwen,local_qwen,1557,6144,7701,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:WrongAnswer -> max_context_reached
maximum-difference-between-node-and-ancestor_python3,repair_fail,3,CDS,local_qwen,local_qwen,1520,6144,7664,semantic_pruning:TAC -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> escalate_to:PSS -> semantic_pruning:PSS -> llm_repair_agent -> validation_sandbox -> repair_failed:IndentationError -> escalate_to:CDS -> semantic_pruning:CDS -> llm_repair_agent -> validation_sandbox -> repair_failed:TypeError -> max_context_reached
